Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,PB-2621,Cellophane treat bag,Cellophane treat bag,Cellophane treat bag,Cellophane treat bag,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076437310,5060076437310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cookie cutters,cookie cutters,cookie cutters,cookie cutters,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076438911,5060076438911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEN-603,Dreidel Spin Top Pen,Dreidel Spin Top Pen,Dreidel Spin Top Pen,Dreidel Spin Top Pen,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076439147,5060076439147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFR-1001,4 IN A ROW DREIDEL EDITION,4 IN A ROW DREIDEL EDITION,4 IN A ROW DREIDEL EDITION,4 IN A ROW DREIDEL EDITION,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076439239,5060076439239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TTB-1002,Dreidel Table Top Balloon,Dreidel Table Top Balloon,Dreidel Table Top Balloon,Dreidel Table Top Balloon,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076439277,5060076439277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEN-604,LED DREIDEL SNOW GLOBE PEN,LED DREIDEL SNOW GLOBE PEN,LED DREIDEL SNOW GLOBE PEN,LED DREIDEL SNOW GLOBE PEN,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076439291,5060076439291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sukkot straws,sukkot straws,sukkot straws,sukkot straws,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076439642,5060076439642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASSOVER PUFFY STICKERS,PASSOVER PUFFY STICKERS,PASSOVER PUFFY STICKERS,PASSOVER PUFFY STICKERS,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076439727,5060076439727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,stickers,stickers,stickers,stickers,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076439734,5060076439734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,activity set,activity set,activity set,activity set,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076439758,5060076439758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,magic paint sheets,magic paint sheets,magic paint sheets,magic paint sheets,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076439819,5060076439819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,foam craft,foam craft,foam craft,foam craft,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076439833,5060076439833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scratch art set,scratch art set,scratch art set,scratch art set,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076439840,5060076439840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CPK-1007,Canvas Painting Kit - Sukkot,Canvas Painting Kit - Sukkot,Canvas Painting Kit - Sukkot,Canvas Painting Kit - Sukkot,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076439901,5060076439901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CPK-1008,Canvas Painting Kit - Simchas Torah,Canvas Painting Kit - Simchas Torah,Canvas Painting Kit - Simchas Torah,Canvas Painting Kit - Simchas Torah,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060076439918,5060076439918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
