Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,NYDC DOLL HAIR ACCESSORIES,NYDC DOLL HAIR ACCESSORIES,NYDC DOLL HAIR ACCESSORIES,NYDC DOLL HAIR ACCESSORIES,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262267,687077262267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NEW YORK SHOES,NEW YORK SHOES,NEW YORK SHOES,NEW YORK SHOES,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262458,687077262458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLASSES,GLASSES,GLASSES,GLASSES,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262557,687077262557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B122,NEW YORK 11 INCH BLUE DOLL,NEW YORK 11 INCH BLUE DOLL,NEW YORK 11 INCH BLUE DOLL,NEW YORK 11 INCH BLUE DOLL,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,687077262755,687077262755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,STRIPED TIGHTS,STRIPED TIGHTS,STRIPED TIGHTS,STRIPED TIGHTS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077262847,687077262847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RUFFLED TIGHTS,RUFFLED TIGHTS,RUFFLED TIGHTS,RUFFLED TIGHTS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077263271,687077263271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MIX N MATCH,MIX N MATCH,MIX N MATCH,MIX N MATCH,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077263653,687077263653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MIX N MATCH,MIX N MATCH,MIX N MATCH,MIX N MATCH,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077263929,687077263929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOLL 2 PC DRESS SET,DOLL 2 PC DRESS SET,DOLL 2 PC DRESS SET,DOLL 2 PC DRESS SET,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,687077264575,687077264575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HEART JUMPER SET,HEART JUMPER SET,HEART JUMPER SET,HEART JUMPER SET,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264704,687077264704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HEADBANDS,HEADBANDS,HEADBANDS,HEADBANDS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264841,687077264841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D270,TWO PC DRESS,TWO PC DRESS,TWO PC DRESS,TWO PC DRESS,Others,Dolls,Doll Accessories,NEW YORK DOLL,NEW YORK DOLL,687077264551,687077264551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
